id,firstname,lastname,fatherwords,motherwords,lwords,gendre
24889272,Maryanne,Zeleznik,0,0,0,1
24876649,Geoff,Brumfiel,0,0,0,-1
24869970,Alice,Fordham,0,0,0,0.99
24798489,Lars,Gotrich,0,0,0,-1
23986097,Amy,Dickinson,0,0,0,1
23090193,Jeffrey,Rogers,0,0,0,-1
22970587,Ki,Sung,0,0,0,0
22969926,Anna,Bross,0,0,0,0.99
22534863,Glen,Weldon,0,0,0,-0.99
22376014,Neal,Carruth,0,0,0,-1
22252782,Julie,McCarthy,0,0,0,1
21992757,Teresa,Gorman,0,0,0,1
21930447,Daniel,Schorr,0,0,0,-0.99
21907662,Liz,Halloran,0,0,0,1
21838500,zoe,chace,0,0,0,0.99
21748329,Ned,Wharton,0,0,0,-1
21574303,Stephen,Thompson,0,0,0,-1
21428058,vikki,valentine,0,0,0,1
21419766,Nicole,Cohen,0,0,0,1
21215654,John,Asante,0,0,0,-1
20724917,Jim,NPR,0,0,0,-0.99
20529914,Nell,Greenfieldboyce,0,0,0,1
20412074,Carrie,Kahn,0,0,0,0.5
20245891,Liane,Hansen,0,0,0,1
20245775,Scott,Simon,0,0,0,-0.71
20171588,Shula,Neuman,0,0,0,0.95
20065842,Richard,Knox,0,0,0,-1
20064016,Peter,Breslow,0,0,0,-1
20060047,Graham,Smith,0,0,0,-0.99
19923887,Mandalit,Barco,0,0,0,0.13
19821657,Thomas,Pierce,0,0,0,-1
19727255,Laura,Sullivan,0,0,0,0.99
19671793,Steve,Drummond,0,0,0,-1
19549745,Laurel,Dalrymple,0,0,0,1
19522510,Chris,Benderev,0,0,0,-0.8
19412785,David,Greene,0,0,0,-1
19222799,Lorie,Liebig,0,0,0,0.5
19207266,Anya,Kamenetz,0,0,0,1
19116024,Julia,Bailey,0,0,0,0.99
19063753,Ammad,Omar,0,0,0,-0.59
18978948,Robin,Hilton,0,0,0,0.53
18975962,Fiona,Ritchie,0,0,0,1
18965131,lclemetson,None,0,0,0,-0.13
18739443,elizblair,None,0,0,0,-0.13
18579081,Mike,Shuster,0,0,0,-1
18554730,Pat,Duggins,0,0,0,-1
18510855,Melissa,J-M,0,0,0,0.99
18499574,karenbates,None,0,0,0,0.13
18494510,Shereen,Marisol,0,0,0,1
18208763,Scott,Hensley,0,0,0,-1
18139703,Selena,S-D,0,0,0,1
17974050,Will,Snyder,0,0,0,-0.99
17889713,NPR,Interns,0,0,0,-0.13
17787248,Richard,NPR,0,0,0,-1
17664673,krishnadev,calamur,0,0,0,0.13
17662274,Kitty,Eisele,0,0,0,0.71
17613261,Eliza,Barclay,0,0,0,0.71
17487585,NPR,Live,0,0,0,-0.13
17172829,Joel,Sucherman,0,0,0,-0.99
17037685,kasia,podbielski,0,0,0,1
16981910,Margot,Adler,0,0,0,1
16618200,John,Stefany,0,0,0,-1
16581208,Will,Hines,0,0,0,-0.98
16458033,Amita,Kelly,0,0,0,1
16442379,Sam,Sanders,0,0,0,-0.99
16366768,robsachs,None,0,0,0,0.13
16362677,beckyberger,None,0,0,0,0.13
16249259,Ken,Rudin,0,0,0,-0.5
16224705,christopher,joyce,0,0,0,-1
16224500,Allison,Aubrey,0,0,0,0.98
16224477,Jon,Hamilton,0,0,0,-0.99
16222202,EdithChapin,None,0,0,0,0.13
16222086,Gisèle,Grayson,0,0,0,0
16207797,Jessica,Goldstein,0,0,0,1
16149614,julie,rovner,0,0,0,1
16137724,Anastasia,Tsioulcas,0,0,0,1
16001350,Elise,Hu,0,0,0,1
15908898,Marilyn,Geewax,0,0,0,0.99
15882702,Doug,Mitchell,0,0,0,-1
15852865,Mito,Habe-Evans,0,0,0,-0.28
15753057,Peter,Overby,0,0,0,-0.99
15639774,Adam,Davidson,0,0,0,-1
15638615,Linda,Holmes,0,0,0,1
15504419,Kelsey,Proud,0,0,0,0.94
15483390,Tamara,Keith,0,0,0,1
15358452,Tanya,Brown,0,0,0,1
15243240,Margot,Williams,0,0,0,1
15236385,Jonathan,Blakley,0,0,0,-1
15233145,Tony,Marcano,0,0,0,-0.99
15180898,Neda,Ulaby,0,0,0,0.5
